Year,Mo,Dy,tave,tmax,mxtm,tmin,mntm,vp,rhmax,rhmxtm,rhmin,rhmntm,sr,wrun,pp,st5mx,st5mxtm,st5mn,st5mntm,st15mx,st15mxtm,st15mn,st15mntm,volts,year,gust,gusttm,gusdir,etr_asce,next tave
2019,1,24,-4.388999999999999,0.59,00:00,-9.368,23:30,0.326,0.9329999999999999,07:50,0.5489999999999999,00:00,7.394,83.023,2.286,,,,,0.38799999999999996,08:00,0.31,12:00,,2019.0,11.936,06:00,,0.6940000000000001,
2019,1,25,-4.567,1.97,13:50,-11.104000000000001,06:50,0.28,0.914,01:00,0.376,14:30,9.248,67.842,1.524,,,,,0.314,00:00,0.016,13:00,,2019.0,7.624,12:10,,0.795,
2019,1,26,0.19899999999999998,8.491,13:10,-8.092,03:40,0.345,0.838,03:50,0.27899999999999997,11:40,7.189,77.78399999999999,0.0,,,,,0.126,00:00,-0.361,12:00,,2019.0,13.7,12:20,,1.214,
2019,1,27,5.772,15.923,12:20,-4.379,07:00,0.433,0.7390000000000001,07:00,0.205,12:30,6.957000000000001,89.758,0.0,,,,,0.109,23:00,-0.344,12:00,,2019.0,14.68,19:10,,1.879,
2019,1,28,-2.951,1.979,00:10,-7.881,23:50,0.299,0.845,23:20,0.373,11:00,7.457999999999999,130.727,0.0,,,,,0.409,23:00,0.147,00:00,,2019.0,11.917,08:20,,1.143,
2019,1,29,-5.122000000000001,0.8809999999999999,13:50,-11.125,06:20,0.253,0.871,06:10,0.342,15:20,9.336,63.677,0.0,,,,,0.41700000000000004,01:00,-0.19899999999999998,13:00,,2019.0,8.056000000000001,14:40,,0.804,
2019,1,30,-3.679,5.61,15:30,-12.967,07:20,0.249,0.851,06:20,0.222,15:30,7.971,43.637,0.0,,,,,0.083,00:00,-1.421,11:00,,2019.0,5.821000000000001,09:10,,0.866,
2019,1,31,1.3659999999999999,10.501,15:20,-7.768,06:40,0.315,0.753,06:10,0.183,16:00,8.67,39.929,0.0,,,,,-0.156,23:00,-1.033,11:00,,2019.0,5.39,11:10,,1.033,
2019,2,1,3.617,14.232000000000001,14:50,-6.999,07:10,0.379,0.769,07:10,0.19,13:40,8.862,36.293,0.0,,,,,0.066,23:00,-0.41100000000000003,12:00,,2019.0,5.272,13:40,,1.113,
2019,2,2,4.365,15.445,14:00,-6.715,07:00,0.409,0.809,07:20,0.17300000000000001,12:50,8.138,40.951,0.0,,,,,0.315,23:00,0.094,00:00,,2019.0,5.507999999999999,11:50,,1.244,
2019,2,3,8.895,18.579,12:50,-0.79,23:10,0.447,0.653,04:10,0.134,15:20,8.533,68.63,0.0,,,,,2.734,20:00,0.33899999999999997,00:00,,2019.0,12.995,13:00,,1.893,
2019,2,4,1.9340000000000002,9.546,06:10,-5.678,23:50,0.35200000000000004,0.7490000000000001,23:50,0.257,05:40,7.728,81.477,0.0,,,,,3.0039999999999996,19:00,1.146,12:00,,2019.0,8.193,05:40,,1.435,
2019,2,5,-0.69,5.354,15:20,-6.734,02:50,0.395,0.883,05:50,0.48,15:20,8.384,50.693000000000005,0.0,,,,,2.772,19:00,1.133,13:00,,2019.0,5.978,11:40,,0.87,
2019,2,6,-9.658999999999999,-3.109,00:00,-16.209,23:50,0.252,0.9640000000000001,03:20,0.752,22:30,1.2930000000000001,84.13600000000001,0.0,,,,,2.154,00:00,0.8390000000000001,23:00,,2019.0,6.037000000000001,14:40,,0.231,
2019,2,7,-15.989,-12.617,15:40,-19.361,08:10,0.131,0.8440000000000001,21:30,0.652,15:30,7.504,66.251,0.0,,,,,0.826,00:00,0.555,23:00,,2019.0,5.096,06:10,,0.37799999999999995,
2019,2,8,-9.802,-0.47700000000000004,14:20,-19.127,00:50,0.162,0.8240000000000001,00:00,0.298,13:30,8.724,31.425,4.064,,,,,0.535,00:00,0.146,15:00,,2019.0,4.1160000000000005,15:00,,0.631,
2019,2,9,-5.18,3.925,12:00,-14.285,06:30,0.248,0.857,02:00,0.341,12:00,8.254,51.994,0.0,,,,,0.13,00:00,-0.531,12:00,,2019.0,5.782,15:40,,0.897,
2019,2,10,-4.825,-1.248,15:00,-8.402999999999999,06:50,0.331,0.935,08:10,0.615,17:30,6.95,62.941,0.0,,,,,-0.043,23:00,-0.302,12:00,,2019.0,5.919,14:00,,0.672,
2019,2,11,-3.589,5.271,15:30,-12.449000000000002,05:30,0.253,0.9359999999999999,06:00,0.147,15:30,7.912000000000001,56.39,0.0,,,,,-0.048,00:00,-1.426,12:00,,2019.0,11.799000000000001,15:30,,1.101,
2019,2,12,2.783,9.312000000000001,13:30,-3.7460000000000004,07:10,0.228,0.467,23:40,0.14800000000000002,13:10,8.943999999999999,73.188,0.0,,,,,-0.336,23:00,-1.528,11:00,,2019.0,11.564,03:30,,1.635,
2019,2,13,6.672999999999999,15.249,14:30,-1.9040000000000001,06:00,0.32,0.534,06:00,0.12300000000000001,12:50,9.839,103.179,0.0,,,,,0.253,23:00,-0.287,00:00,,2019.0,16.621,13:40,,2.423,
2019,2,14,5.976,14.04,10:00,-2.088,23:50,0.44799999999999995,0.67,23:30,0.292,09:40,5.337000000000001,105.815,0.0,,,,,1.744,19:00,0.276,00:00,,2019.0,11.76,09:40,,1.984,
2019,2,15,2.3930000000000002,9.877,16:20,-5.09,07:20,0.384,0.732,07:20,0.32799999999999996,16:40,10.314,83.236,0.0,,,,,3.569,19:00,0.857,12:00,,2019.0,6.723,12:20,,1.5730000000000002,
2019,2,16,-0.857,5.129,12:30,-6.8420000000000005,05:00,0.312,0.857,05:10,0.23199999999999998,18:00,6.172999999999999,79.693,0.0,,,,,2.845,00:00,1.202,13:00,,2019.0,11.897,14:50,,1.261,
2019,2,17,-4.927,0.44799999999999995,12:30,-10.302,23:50,0.23,0.807,20:40,0.282,00:10,7.598,96.35,0.0,,,,,1.5590000000000002,00:00,0.6559999999999999,22:00,,2019.0,8.427999999999999,14:00,,1.137,
2019,2,18,-11.115,-8.291,16:20,-13.939,06:30,0.191,0.8440000000000001,20:30,0.623,15:50,5.4670000000000005,92.36399999999999,0.0,,,,,0.6509999999999999,00:00,0.489,23:00,,2019.0,6.115,06:00,,0.546,
2019,2,19,-8.522,-5.56,16:50,-11.484000000000002,23:50,0.235,0.852,23:50,0.613,13:50,4.893,56.983999999999995,0.0,,,,,0.473,00:00,0.21899999999999997,14:00,,2019.0,4.626,12:30,,0.557,
2019,2,20,-5.496,2.147,14:30,-13.139000000000001,05:40,0.223,0.92,04:00,0.18100000000000002,15:50,11.565,69.813,0.0,,,,,0.226,00:00,-1.04,11:00,,2019.0,7.311,16:00,,1.198,
2019,2,21,-4.461,1.4140000000000001,14:50,-10.335,06:50,0.276,0.862,23:50,0.4,16:00,9.502,83.789,0.254,,,,,-0.098,01:00,-0.985,11:00,,2019.0,7.507000000000001,18:50,,1.087,
2019,2,22,-5.376,-3.792,21:50,-6.96,10:00,0.359,0.9670000000000001,04:30,0.789,21:50,1.758,61.486000000000004,0.0,,,,,0.047,20:00,-0.14400000000000002,00:00,,2019.0,5.194,01:10,,0.228,
2019,2,23,-0.835,6.343999999999999,12:40,-8.014,07:10,0.303,0.889,02:10,0.16899999999999998,12:50,11.23,86.639,0.508,,,,,0.08,23:00,-0.33399999999999996,12:00,,2019.0,12.25,19:30,,1.6059999999999999,
2019,2,24,2.057,9.549,13:10,-5.436,23:50,0.304,0.7290000000000001,23:50,0.132,13:20,11.296,117.10799999999999,0.0,,,,,0.354,23:00,0.07200000000000001,12:00,,2019.0,10.172,00:30,,2.215,
2019,2,25,0.91,10.76,15:10,-8.94,05:50,0.377,0.976,22:20,0.182,15:00,11.805,77.067,0.0,,,,,1.7309999999999999,20:00,0.29600000000000004,13:00,,2019.0,8.702,15:50,,1.7930000000000001,
2019,2,26,0.546,9.51,14:40,-8.417,00:20,0.408,0.968,00:40,0.319,15:00,10.147,52.29600000000001,0.0,,,,,4.166,20:00,0.7709999999999999,11:00,,2019.0,5.2139999999999995,21:50,,1.347,
